category,title,url
Neuro,"Brain Trauma Foundation Guidelines for the Management of Penetrating Traumatic Brain Injury, Second Edition. Neurosurgery 2025;",https://journals.lww.com/neurosurgery/Documents/NEUv97n6S-issue-text-proofs_WATERMARKED-clean-cover.pdf
Neuro,Kollmar. Acute care of aneurysmal subarachnoid hemorrhage: practical consensus statement from a multidisciplinary group of German-speaking neurointensivists and neuroradiologists on behalf of the DIVI neurology section. Neurol Res Pract 2025;7:54,https://doi.org/10.1186/s42466-025-00407-x
Neuro,Lagares. Consensus on the management of traumatic brain injury in older adults: Results from a Delphi study. Brain Spine 2025;5:104319,https://doi.org/10.1016/j.bas.2025.104319
Neuro,Neurosurgical management of the acute phase of adult and pediatric traumatic brain injury: 2025 guidelines of the French Society of Neurosurgery. Neurochirurgie 2025 Jul;71(4):101686,https://doi.org/10.1016/j.neuchi.2025.101686
Neuro,Cryns. The Diagnosis and Treatment of Acute Spinal Cord Injury. Dtsch Arztebl Int 2025;122:219-224,https://doi.org/10.3238/arztebl.m2025.0034
Neuro,Adams. CALM ICU guidelines: Preliminary guidelines on non-pharmacological strategies for agitation in the ICU − A Delphi study. Intensive Crit Care Nurs 2025;90:104135,https://doi.org/10.1016/j.iccn.2025.104135
Neuro,Sonneville. Management of severe acute encephalopathy in the ICU: an expert consensus statement from the French Society of Intensive Care Medicine. Ann Intensive Care 2025;15:37,https://doi.org/10.1186/s13613-025-01436-0
Neuro,"Lewis. A Focused Update to the Clinical Practice Guidelines for the Prevention and Management of Pain, Anxiety, Agitation/Sedation, Delirium, Immobility, and Sleep Disruption in Adult Patients in the ICU. Crit Care Med 2025;epublished February 21st",https://doi.org/10.1097/CCM.0000000000006574
Circulatory,ESICM. ESICM guidelines on circulatory shock and hemodynamic monitoring 2025. Intensive Care Med 2025;51:1971–2012,https://link.springer.com/epdf/10.1007/s00134-025-08137-z?sharing_token=iTvuk6QVtTTMGPp2eez2vfe4RwlQNchNByi7wbcMAY4JrTUJAsMo45-x8W-fGXeVdulRUXUCxmLSkiJmRfS7rVeZXluzhwc5EEYeXDOU3tmhEHViJsYiOtlBqm0NhYVWppBORJRtQXxT7Mmp-fIOLVoBmo77vErz2d_szvxSmVo%3D
Circulatory,"Aboumarie. Cardiac ultrasound in cardiovascular emergency and critical care: a clinical consensus statement of the European Association of Cardiovascular Imaging, the Acute CardioVascular Care Association of the European Society of Cardiology, and the European Association of Cardiothoracic Anaesthesia and Intensive Care. Eur Heart J Cardiovasc Imaging 2025;26(11):1699–1724",https://doi.org/10.1093/ehjci/jeaf246
Circulatory,Haemodynamic monitoring and management of the hypotensive out-of-hospital cardiac arrest patient in the adult intensive care unit: a clinical consensus statement of the Association for Acute CardioVascular Care of the ESC. Eur Heart J Acute Cardiovasc Care 2025;epublished September 27th,https://doi.org/10.1093/ehjacc/zuaf125
Circulatory,Akhtar. British societies guideline on the management of emergencies in patients on extracorporeal membrane oxygenation. Intensive Care Med 2025;epublished October 6th,https://doi.org/10.1007/s00134-025-08142-2
Circulatory,Potapov. EACTS/STS/AATS Guidelines on temporary mechanical circulatory support in adult cardiac surgery. Eur J Cardiothorac Surg 2025;epublished October 9th,https://doi.org/10.1093/ejcts/ezaf330
Circulatory,Lorusso. EACTS Expert Consensus Document on protected cardiac surgery: pre-emptive use of temporary mechanical circulatory support in adult cardiac surgery patients at high risk for perioperative low cardiac output syndrome. Eur J Cardiothorac Surg 2025;epublished October 9th,https://doi.org/10.1093/ejcts/ezaf296
